Name,Original Title,Korean Name,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Number of Ratings (num),Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
She Was Pretty,Geunyeoneun yeppeodda,??? ???,TV Series,2015,N/A,1h,16,1,1,7.6,6.7K,6700,https://m.media-amazon.com/images/M/MV5BZWY0MmNiNzQtMzJhNy00NmM5LTllZjItOTY3NTIxYTRkNGRiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi683590425/1434659607842-pgv4ql-1631805972946.mp4?Expires=1730935909&Signature=QjIKlf7m2-j1olsR19ODmBMsv-1esMwz7nxXLCjCgvk9Z56mg3qu-aElVXKez4BevFxBYZ2gupfEAL0PRr~m7ulYh0DwrnEfMQ7ERyf-e6xdmhOHAhN4WjfgCm4GxTwnGK~Oh8wGHqssneLRhmRw7aMuko9sOnNQy~W97zy1fQn-ZK73fC6Efyi0A4axYBOIpI8dFxKPl-ceCSlEp89VCQ-aBWUXXg9BUJOEOVlATOXHoICJJnKAn28zyVu2eGuhQBwj1fIJNqztTzm7xxssGPaMARdUgEqEfnk8CUXHidC0mEBrDWzaupOFhxg3-fYjgooVRaZ~UMx6ovBdpJ4UMQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","When Ji Sung-Joon was young, he was ugly. As he grew up, he began to have an attractive appearance. When Kim Hye-Jin was young, she was pretty. As she grew up, she became ugly. Ji Sung-Joon tries to find his first love.","Hwang Jeong-eum, Park Seo-joon, Ko Jun-hee",N/A
The King's Affection,Yeonmo,??,TV Series,2021,TV-PG,N/A,20,1,1,8,6.6K,6600,https://m.media-amazon.com/images/M/MV5BMjQ4OGFkZDItY2I2MC00YzI0LTliZmUtNGFhODUwYjZkZGM3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi4271162137/1434659607842-pgv4ql-1633516268191.mp4?Expires=1730931999&Signature=NNDqUVTMbOL8kqihFIYALROpuF1kgfY0ABom4PMcudmlPriAPjKORSkmBS6ggY19SujI8dzlz5bHkiaJgvFSyk2f0n2v~dFWpSXj7vulUw7tHtdmzQuTpsB~f7VRJB8CtzOcR0MVVCTkcclFreww5gM8VIFHTYVOLeI5wQ2OC4CmdyJ58Rh69Vb6-byq2hLAtMjj5tulcDeA4Jhb6zKV7dk9gKFZHYbE4QzahXIZKxExyCZIoZAzNBtHXdjRhPUb8YUKDeUOhy7r3B0E1hrifjNqTMMq1yEhRtiqKkOVSOaz35uJ1A9999dqz0FREYLCXrhOjGTgjP4q0Bbb4gg~eA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Period Drama, Drama, Romance","The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.","Lee So-Young, Park Eun-bin, Kim Ro-Woon",Watch on Netflix (https://www.netflix.com/watch/81430282)
Twinkling Watermelon,Banjjagineun Woteomellon,???? ????,TV Series,2023,N/A,1h 10m,16,1,1,8.9,6.5K,6500,https://m.media-amazon.com/images/M/MV5BZGNhMDc0NTgtODc1MS00ZWU5LTgwMWUtYmYzMDZjNDg5ODk1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3503343385/1434659607842-pgv4ql-1695263172438.mp4?Expires=1730931809&Signature=UnIVZdrDGYZW4N89YyNDulfzEXkgjde9LYoZ1KeQuyYiHi8f4eSjLfTZay9UfjRPWCWzUVcYcYFGOyg9XYdrPNGX98xDYDiM3g551rmMA-NIWIOF0tkDugNhI8LccoCADEv65QTpri7wWDLcN~Ti4fDXzz54WMlifDZG6MnXQ50ZhguBi4ZGlF0J0h0bk6v1nfoTnx1svALqr4cR9JprRLrni2pbo7yd5oOY94~sr0TXbi-F3CVjLIuefaH-gZkQGoZfccExc1Bamcc0u71q8qlNh2RU0CZFXpTfgPXrzyyx92VFoeyf8OxZ7OON8lJGKbc7jhJ4~tYylTyqrNmP1g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Teen Comedy, Teen Romance, Comedy, Drama, Fantasy, Music, Romance","""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there.","Seol In-ah, Lee Ha-min, Choi Hyun-wook",N/A
Taxi Driver,Mobeomtaeksi,????,TV Series,2021,N/A,1h 10m,32,2,2,8.1,6.5K,6500,https://m.media-amazon.com/images/M/MV5BMGM1NmE1OTktZjQ1Ny00N2I0LWI1NTktYTFmMjJkODVmNWM4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi1719976729/1434659607842-pgv4ql-1634643803233.mp4?Expires=1730935340&Signature=OM~RtYeNKt2E4U0yP6Y6SaMsUcxXjQk91evhXHmkEJp8uQ3WpZIeBiv0~SXzuaZTW9GjbCjVHS61bwvX5BK2YzBWnxJmQpTmU~hQMXdFz2B2R6zA3piMNY1w73XCIAz489sT7mLIXd3CioUJ7u-zlCUHWW6NTg5mGrRmOft78MMVACcIABl~6CKQIb3WIdJhh0wuniNqlEJiSCJB5igu-BsEISnaoIGOf~Ys9bUUrcc7NXJeFSx02zN9S6ACVaexIuVqqprycyNwEbz8n0k3vCf~ez6XdeM~yn2t19h9qIPbQQj5jauQAde9hIgoQvJUyHbhfjxLLzAaNPtxOP67jw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Crime, Drama, Thriller",The story of a deluxe taxi driver who gets revenge on behalf of his passengers. It is based on the webtoon Deluxe Taxi by Carlos and Lee Jae-jin,"Lee Je-hoon, Kim Eui-sung, Pyo Ye-jin",N/A
Hwarang: The Poet Warrior Youth,Hwarang,??,TV Series,2016-2017,N/A,1h,20,1,2,8,6.5K,6500,https://m.media-amazon.com/images/M/MV5BZTcwM2NjZjQtN2EzZC00ZWNkLWI4M2EtY2UyYzYyMjEwNzcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi193970969/1434659607842-pgv4ql-1635420388469.mp4?Expires=1730935439&Signature=jStXRPaN8HlA008hHQnTumPnptiV3sIwxHqZpjiO6ZVVY6Xmjr8fcmhIs7w2OYCXAwiNpBFYFd4APo-afZuSWNdp4hr4aXaCTWiTX6CQU5X6lH2d8h8931iZ9h64tS7P6UoJL7QMIWnB8Mu~RGXGdXBOXvLXjBjTJ9l5TwtnaTHSdhg6jzQlF4yiWSUUqd1tGbDauK6Zs8APUKQP4xU6jCaOoR9BjAL2Byy1r4Hsf4jeIhP4FZCz12iB4THiISuM7T8X-n55ibHhQYbX-KC809toXkqy4vm2eiRzgvkpoIls1lgk0uTrg3Lrg2iUV7okYzfIJe0hnIAKoBQPWFphSA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Costume Drama, Action, Comedy, Drama, History, Romance","Revolves around an elite group of male warrior youth called Hwarang who grow through passion and love in Seorabeol, the capital of the ancient kingdom of Silla.","Park Seo-joon, Go Ara, Park Hyung-sik",N/A
A Korean Odyssey,Hwayugi,???,TV Series,2017-2018,N/A,1h 15m,20,1,3,7.9,6.5K,6500,https://m.media-amazon.com/images/M/MV5BNzljMThlOTEtOTQwYi00NDg2LWEzM2ItNjgwNmVkOWY5YTQxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Supernatural Horror, Zombie Horror, Comedy, Fantasy, Horror, Romance","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.","Lee Seung-gi, Cha Seung-won, Oh Yeon-Seo",N/A
"Kill Me, Heal Me","Kilmi, hilmi","??, ??",TV Series,2015,N/A,1h,20,1,1,8.3,6.4K,6400,https://m.media-amazon.com/images/M/MV5BNmI3YmVlOWUtZWE1OS00YmE0LWJkOTQtZDAzY2I2MzM0ZmJkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi957334041/1434659607842-pgv4ql-1660285137570.mp4?Expires=1730938616&Signature=MmlODYv4WU2eU3Zff~Izqrp~Vld7eB0f9FeHS~DMuQQHPNht7va0V-PVuh-liqsjVXttQNpi8ad80CWh3gqk6Slk2YiXeZQ~TxyG1GeQPzTcnAKm7iIIC66Uz6DBfvmJLI88XQqXReHusgyqbZCDQmGw7Qmw79qOsdZrez2bNif1-usqhCnTt3OVKE8cSZcSrrZ2zns~yQp3t7HCsVo34u3rhw6JpTjf6NlXBvVySwvUqW2VkqWFCbwiCTNyYLv6keBUG4sVhs5SiIYpC3RWXeq4VA~hAFp1bv7pQrLwR6anXvN9jb08RXrVQCYhkv6npRuKeT0wWH41ll3p8Q74aw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance",A love story between the son from a wealthy family who has 7 personalities Cha Do Hyun and Oh Ri Jin who becomes his secret psychiatrist.,"Ji Sung, Hwang Jeong-eum, Park Seo-joon",N/A
Welcome to Samdalri,Welkeomtu Samdal-ri,??? ???,TV Series,2023,TV-14,1h,16,1,2,8,6.4K,6400,https://m.media-amazon.com/images/M/MV5BZTRkMmFmM2YtYmFiYi00NGZkLWIzOTUtNGYxOGMxMjRmNWRkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2635974425/1434659607842-pgv4ql-1701674632911.mp4?Expires=1730941353&Signature=OkuSsCrS1WbR1g10F7zqRIhaf0yNC0wagwk-kDksOGuLZ9IjTw3tOJd6~vwQNJDmDgwzeYjzLXfERx7OXwzU11wtQRM2p7ZF5CsupkZCsZO72HriVhZO7Ru3wxfvTxwGE81plFb3NiY40S0FjSqVhiPEl2Z5~xlP2T0j-jHslPs7nbciWcm5syVzu71mPUuwguZE1MDuBlBM8sfaH8T2lT52iAnowQUtLKpdtvMHkWVHKfkq1qO7U8h2mkIGMrcmok3OC8mZT6pew288ph95GWP1zGryXGHIifyizCJqviU~3cZt8IRPfg1fzUXAA5WUcTcky7r3J1acCbByvTjLyA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance","After suffering a fall from grace, a photographer returns to her hometown and bumps into her childhood friend, rekindling an unfinished romance.","Ji Chang-wook, Shin Hye-sun, Kim Mi-kyung",Watch on Netflix (https://www.netflix.com/watch/81697983)
Arthdal Chronicles,Aseudal Yeondaegi,??? ???,TV Series,2019-2023,N/A,1h 20m,30,1,2,8.3,6.3K,6300,https://m.media-amazon.com/images/M/MV5BZDM4OWY2NDgtOGUxZC00YjMzLWI0ZWYtMDU5NDY4NDgwMmY5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi104512537/1434659607842-pgv4ql-1560517441573.mp4?Expires=1730932486&Signature=IvKuRvWGd7InKvKHNAt3Y60PEFxXcoZ6RE~Odbj5RFMl-75SCDsdueIYLFblRIVJr0v4PMO~pfOid6nsqxQmOtWT9eCO3Lzlc0fNLGWFFMD~BqKRnR-Oqo75~appOzV2l~tF4JytO-j8Gfr4oCpgksTqmsVT4UZbR8krkhSyShy1CmQEClkzgTMn8BFtrJO5jj9KGikhj-10iKodSRAJM7woMQGk2EceteTq5LUkup3ls0ivg9gAak9MKKNsSAATzKruTvOLVqZgIU0Z5N5mQT3S6xvLZxz39veAqAGXsr-UPnyduBsjcJuZpdH92w9A5Vp4d4U67nibNUNj-YIGJQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Costume Drama, Dark Fantasy, Fantasy Epic, Korean Drama, Action, Drama, Fantasy, History, Romance","""Arthdal Chronicles"" depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes--their struggle, unity, and love of people living in a virtual land called Arth.","Jang Dong-gun, Kim Ok-bin, Yoon Sa-bong","Watch on Hulu (http://www.hulu.com?d=Amazon), Watch on Netflix (https://www.netflix.com/watch/81028895)"
Celebrity,Selleobeuriti,?????,TV Series,2023,TV-MA,1h,12,1,1,7.4,6.1K,6100,https://m.media-amazon.com/images/M/MV5BYzQ4ZmUyNzItNWVlNy00MzlmLWI5OTItODkyODIwZGYwOThmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi565430041/1434659607842-pgv4ql-1686840238969.mp4?Expires=1730932045&Signature=Pgr3uo4ldWoaCS6Y96QxDG7O-zGQeuVE2aiKyM-uQFR5oJmc5X~yv2rOkjzz5-GzKdH6ObyMB6SfN-ofdPOJtOaLJ0sAE23URmJbLHiynRcTayIRsJ--bi2r3tF8ixlqUygtsy8BGSl1z2hq~In0LkFQhzdf4Na6mwXwvfgcDNYnIlSm9q5LiK0nCIOWWCmqGm3zBkPJnIq2gKj1sc3-eczCluyMhq3qnTEG3A8JtadMi7dgoKh~fPlnTFpzaTuliSKRGZk0Z66pa4XQaVk8yXuMDZT0NMpLsMTbvSBZ-1GvPJ9KbuluaxmQbxk-9SA485GYmDLGHBeKW6S5f~VeOA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Conspiracy Thriller, Korean Drama, Suspense Mystery, Drama, Mystery, Thriller",Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.,"Park Gyuyoung, Kang Min-hyuk, Victoria Grace",Watch on Netflix (https://www.netflix.com/watch/81361096)
A Shop for Killers,Sarinjaui Syopingmol,???? ???,TV Series,2024,TV-MA,50m,8,1,1,8,6K,6000,https://m.media-amazon.com/images/M/MV5BZmY4ZTI3Y2QtNWIxMS00YzU4LWEyYjItZDgzYjA5NzU3ZjY2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2991703833/1434659607842-pgv4ql-1705832356136.mp4?Expires=1730931933&Signature=I47mG5C~JR6Ur91g-aieZUThhJVF0jxpLhC3hCBWjpsE7F8eoO6TIi-9kwslji~XG3bx43G2LVsxRIvx7Fy~i2XbPCuGSfu543IW6YvxmCn8ORboJCdieZV1NyYpwNTnydLQadGvzy5l385kLCpTJ5csHML9AXVj56Jgr9wpIeZGM0DMuvyXwVBSZ7WL8TU4ltYgsPDF-uYw6VeF1twYrE6nRUtuCCo8XM8YpsvNi7lR2~6mKRcwgBAMGETZMt6yZL-ReVJ5Fx-BkGXe51uTUnKHGPrV85Zf~H33ezQ8rOHPNhR0iCEdi8QQ59xCDEOfIrG-1VGitj8k27F~4V5yJA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Drama, Mystery, Thriller","An action drama in which a niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall, faces a new truth after her uncle's sudden death.","Lee Dong-wook, Kim Hye-jun, Jo Han-sun",Watch on Hulu (http://www.hulu.com?d=Amazon)
Love to Hate You,N/A,????,TV Series,2023,TV-MA,50m,10,1,1,7.8,6K,6000,https://m.media-amazon.com/images/M/MV5BZjhjNzNjZTAtNDc3Yy00NzYwLTk0NWItMTU1YmY1NGUwNzZiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi387564825/1434659607842-pgv4ql-1675338342391.mp4?Expires=1730940040&Signature=LcowBCS2jL2~RAPx4~YD329tSITgLYHeXC3MGKO3LDcLdgCBW63COWQVJrhsrp7sljz-XJQ0j60CIuU5wPen2VGaSWUqb-Pd5qVf8pW2RmMKvO5Gj8t83b~FAQ5cW24s2sRq-Hzd31Bmvavtdo-NqkEoAjGZPADhP6cySn1vuktpslDJIGrsD2Exoe7~5xpJecLl6eeTSec-eTt9Gu-2CgCbUHe9vK~b57zZAe6v1TKTsk50rQmw0NXzLhk0qRdswfVXdrH~6lGPjRfMswQdQc5DUl82qYUHm3NR4q3U2pe8-a2Eb0b4R35dQzZ9R8spYuxnSwUc58iuey7-bgS4Hw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Feel-Good Romance, Comedy, Romance","For an attorney who despises losing to men and an A-list actor who distrusts women, love means nothing - until they're forced to date each other.","Kim Ok-bin, Teo Yoo, Kim Ji-hoon",Watch on Netflix (https://www.netflix.com/watch/81463556)
Extraordinary You,Eojjeoda Balgyeonhan Haru,??? ??? ??,TV Series,2019,N/A,35m,32,1,1,7.8,5.9K,5900,https://m.media-amazon.com/images/M/MV5BNzQwYzViZjYtOWEwNS00ZTcyLWE2MTYtM2FiYzkyZmIzMjI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi4126458649/1434659607842-pgv4ql-1635836492445.mp4?Expires=1730935376&Signature=YCp0yuuuck-Evm59lS7raNWJ2Iqp5KCKODCYM8xMZSRat4GwAXTFK89bx8E09alVA2msPuMWIq4GGNecTZcGRFPPmKW6WFnUyqgpphyikR-es3U~4KUXFQGayzqmigkwnN981JwSgI4zFz8V6swjP6P9jZ2MzY10~1QQEsqWLVJgh3QOgvoKpwaK3PYa0T6dhi3RwMD6aOmZ6SQZi73pRX2OFcb-W~RzkhRfa7zcm2fJeV1-gIHnBAaC1a1u-OgNb6L2R8M~omcmEsorU6kGPs6gsgx1TFhhh2pNyk8T4266EgEdi-nzLbpH7fGtrSiqsd-~Wm3SO8i7ITwffCNg7A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Teen Comedy, Teen Fantasy, Teen Romance, Comedy, Fantasy, Romance",The story of a girl who finds out that she is in fact a supporting character in a web comic and decides to change her fate.,"Muryu, Kim Hye-yoon, Kim Ro-Woon",N/A
Destined with You,Yi Yeonaeneun Bulgahangryeok,? ??? ????,TV Series,2023,TV-MA,1h 10m,16,1,1,7.6,5.9K,5900,https://m.media-amazon.com/images/M/MV5BMThjOGNlMGYtNzYzYy00NTVjLThiMGQtMDZjNTBlMDdmMWQwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi92784409/1434659607842-pgv4ql-1691415751668.mp4?Expires=1730932707&Signature=XdA~~jyqOzZ4gXViE6cfaZz8QRieyolBfDJ4W2fHoGEjFiA7AHc18bGFznUb2BmjfKPBCPz0~Alz5ZJVGv8Uk5l7wBdfDexvTL-eqSjB54j3HAok6UI-f4i2rDkcH0dOh28mhuwpL9jXLg4X1~lObpk9wQbLcfYDif5a8ns~jscid33HuCIhIVn7KQci3C~VVtgcrOACibHyimmHrjGeObvk2pJ0NtSriCU~gFoq9Azhw07cK1M0eQyeHm4c3JOLSVuj~Uj6ZPpZ-DJhMQDea8L-w~r3FQ2UVH4i5pHzFdvMhg9PnO-iMwH1QESYn~kTqhtlwirDVV3vhUaB5eUwxg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy, Romance","Follows a successful lawyer who has everything, but who is plagued by a family curse, and turns out that the one who holds the secret to breaking it is the seemingly ordinary civil servant.","Yura, Kim Ro-Woon, Jo Bo-ah",Watch on Netflix (https://www.netflix.com/watch/81669779)
Beyond Evil,Gwimul,??,TV Series,2021,TV-MA,1h 10m,16,1,1,8.1,5.8K,5800,https://m.media-amazon.com/images/M/MV5BMzczNWM4ZDAtYzljMC00NTcwLWFlNzAtNGQ2ZWVkZDhjOGJiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2125054745/1434659607842-pgv4ql-1632707671592.mp4?Expires=1730932060&Signature=jujASkKHGB5uEugFJ-azS0Dd51OSGzaKV4sMWJr7r3B8iwLuN94rllYywaTrUGlqW8uZ4wWzAMd~ECgWsmciJiYQumhqDiZHuUVhsXJPAvnRtvj~VMXeOm3U9VA2jPrci1C96WC2uot2jsujXlVWUbiiARCR2MYet9Ew5sBX7ibSZwVseq2iJm2oYCJa~-SD0dD5fjPWI-soEeWZqEiCytH31VIwzY2~FI-MfZC1lpyM2pDpGg-GrI9U9KG5JQwcCMnoR0LPEYXilhPDtZQUaTOFEmG4513C~ta5LkhNn4NxJOxczvZeRRgGel5fk04EIF5bg~ZhLEDRgaJWtFoecA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Psychological Thriller, Drama, Mystery, Thriller","The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest.","Shin Ha-kyun, Yeo Jin-goo, Kim Shin-rock",Watch on Tubi (https://tubitv.com/)
The Master's Sun,Joogoonui Taeyang,??? ??,TV Series,2013,N/A,1h 2m,17,1,1,8.1,5.8K,5800,https://m.media-amazon.com/images/M/MV5BYmNjM2ZjOWItM2MzNy00ZmZlLTkyOTgtYjUzZjVhNDljZjU4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Comedy, Fantasy, Horror, Romance","Tae Gong Sil has the ability to see ghosts, but their constant demands for help make her life impossible until she meets Joo Jong Won, a handsome CEO who measures everything by money, since when she touches him, the ghosts disappear.","Kong Hyo-jin, So Ji-seob, Seo In-guk",N/A
Juvenile Justice,N/A,?? ??,TV Series,2022,TV-MA,1h,10,1,1,7.9,5.8K,5800,https://m.media-amazon.com/images/M/MV5BYTY0MmUzMTQtNTdmZS00NDE4LWE2ODMtMGJhNzM3NDE5YmZhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3943547673/1434659607842-pgv4ql-1644411570417.mp4?Expires=1730940123&Signature=M~gErnCVoXmj630utHfzm74g3Ct8e8cWKrXGUvVn0ffUz21WxlVJyFInyPnsVFBtznJSTioFs6ERxZEOgkMgJhY9Ekv2RCnN6raPxbDp8Tw9nPrqPvavDiVyD~6YDKigH1OjaycQZcsY4aABU9pzhp9hVhC0uort06CEQst3-M7c~PhHZOogIgtr5maNmwA0xV-4M0tmxEHTUrlgua5-cAaac~KGX5cA~W-vXeltLwxuTcP~8WB0-9fooflRN1WZnO-xufoNRvitqb4sF5MQVAG7yWNFeGBegqVSwxfI6bkfHwUSiiQXW8tahXCIvjzOJCicLjnJakVqWsynQebChg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Legal Drama, Crime, Drama","A prickly judge who despises juvenile criminals arrives at a juvenile court, where she takes on a complex role examining punishment for young offenders.","Kim Mu-yeol, Kim Hye-su, Lee Sung-min",Watch on Netflix (https://www.netflix.com/watch/81312802)
The Good Bad Mother,N/A,????,TV Series,2023,TV-MA,1h 10m,14,1,1,8.4,5.7K,5700,https://m.media-amazon.com/images/M/MV5BYWMwNWNhYTItNzUyYi00Mzg3LTllMTQtMmEwYTRjYzNiOTRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2926691353/1434659607842-pgv4ql-1681826437556.mp4?Expires=1730940703&Signature=CTLqfmtn2iOY9c6Z0-gHMQPL~XNkEIBZhNMCuNZqyQB4h~DyhbSM-o4ElsFBXWA3gl6bA3AVo0NqNwsuIyqv79efN4j-YWJxjN6Zr-W3Fj~XtNO0F1KfK0UBp~yLaNlTf-RsqRDPgoTLuca7MOGSPELspv-RDzPJO49Kjpq~QfwPEHqUXUNE7G9B9s-rsS8P8cQhxz-RRCRpzQV0R9ZyG-Tt-Q0YVWpgXzMwtV-Mo4tkmUleUJfTsjJMWQmqlAgDNPlciJeEMB1IViYd8~rN5INEQ-A0K06hb5yAiSrrTA8gUIKqJpc1AfjJyWyAe3gXoUwA~Dq6NkCHlyvzrweJJg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Sitcom, Tragedy, Comedy, Crime, Drama, Family","A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship.","Ra Mi-ran, Lee Do-hyun, Ahn Eun-jin",Watch on Netflix (https://www.netflix.com/watch/81669775)
The Sound of Magic,Annarasumanara,???????,TV Series,2022,TV-14,1h 10m,6,1,1,7.5,5.7K,5700,https://m.media-amazon.com/images/M/MV5BMTkyNmQwMjAtZmI3Ny00ZjE5LWIwNmEtY2Q1YWMxMTUxNDRmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2830025241/1434659607842-pgv4ql-1650632417420.mp4?Expires=1730932144&Signature=B61veDm4lM~Lh67BnZtl7DIAZKGeneZeKZT1gfewHLE7xgJZQ3IlldbxG0GjhhKTTNdzHbBf5iIVzRBVs0qGZPctx9VhtoI6CH15l7JrvxUhalTU0NhlEjsQdeYS4MQd9idGZ12Vt1SzLTBmn~ogARN5BoVA5a~QnSmjJY6uLoaglj6G9C-pIHGxWdybqtJT4mWqIFkHWTKfXDBLmh5XZ9BF3KVasUq9l1CCiInlmmnZQpPkgNctKpsTbRZ9EEbawr1PyokPzAz5uY1nuwPQFj-X001JOE7Ctk1DyUI9PbuMfPaYKY0~b~Tb81t~hdLgn8XO9QbRhQgg-kMk3KRQGQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Teen Drama, Teen Fantasy, Drama, Fantasy, Music","When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream.","Ji Chang-wook, Hwang In-Youp, Lisa Yamada",Watch on Netflix (https://www.netflix.com/watch/81016276)
Cinderella and the Four Knights,Cinderellawa Ne Myungui Gisa,????? ? ?? ??,TV Series,2016,N/A,1h,16,1,1,7.4,5.7K,5700,https://m.media-amazon.com/images/M/MV5BZDM1NjcyZDktYWM5OS00MWM4LTlkODktZjkwNWIyMDliMmI4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2676278041/1434659607842-pgv4ql-1634647521050.mp4?Expires=1730936380&Signature=FugOoLPUqIiKLK58yZ5MrlfLEOPWeFkUCfw8ywwFJZee0Ki6VveznQJKisM~9PMet-Pg4IP8SXsQBSba5MktkG7ksnujX48OjUotEKhYg4oLNr5yg3s7WEPXpMLUEWucGm2c11k8K5v04cDKfKtnOT7Bi6TfERzu38o-gz-Mi8WqyxvdJa3SF11w7VWP8Yw2SwNegzLiMiP2IOi83l5C9599JdyJ7-vfvYlKwRDfVzjpr7fEI1reMSqIAHdgJnZGbYkYh1Ld0sovwg~6a2sFKJ2A77i8nzVIwPMxHSTzCdJvdOhnNpFpvvVF1DvAqCttLeyobYbKf92RUQ3MWoPZSQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","A young girl who lives with her cruel stepmother and sister, accidentally meets 3 young and rich cousins who live a luxury life in a big mansion and is hired by the boys grandpa to look after their bad behavior.","Jung Il-woo, Ahn Jae-Hyun, Park So-dam","Watch on Netflix (https://www.netflix.com/watch/80188605), Watch on The Roku Channel (https://therokuchannel.roku.com/details/5dc826c6efaf56e6b0a881667a37dd64), Watch on Tubi (https://tubitv.com/)"
