Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Oh My Venus,O mai Bineoseu,TV Series,2015-2016,N/A,1h,16,1,2,7.7,7K,https://www.imdb.com/title/tt5189944/mediaviewer/rm1684302337/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi513786649/1434659607842-pgv4ql-1634193874219.mp4?Expires=1730703372&Signature=OH0xYMuIVm8j1MxuU0GHw~5cVc09pVt-hwPSC~O0eEQLwJIEeMifdM6RzrsFXT-y-m9DJcX8w1i26zM7D-OyQBuci4dG14x7lC5tIlTxYWtne2DZzp54i84d3~w7Q~M08Z9sApMX1QLcPQjZVu-h7pDldM5bZXiiKN3NubFTcX2EUrrIdXdxK0f5bOR4NfVmuuNbNfFNjTWSsTxHXRtb1tjSD7lmZltFpdTdK1GPHx84KFeW~bxmKKIb8G8RjCwYGNEOovpWKORjkNqIh4Agbp2llWfz5pDW9n1MkaoOa1x0Vm4IftYNTz9a-fDlAFCqOKLnvfG7dREjbuxrDR4BTQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance",A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood.,"So Ji-seob, Shin Min-a, Jung Gyu-woon",
Her Private Life,Geunyeoui Sasaenghwal,TV Series,2019,TV-14,1h 15m,16,1,2,7.7,7K,https://www.imdb.com/title/tt9899340/mediaviewer/rm2743886592/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1016054553/1434659607842-pgv4ql-1635425522581.mp4?Expires=1730701013&Signature=ZS98dRi3Q4AAizWRg4Z6eeetl2NQQ7LBNGZpd1snDuarlgGgFykiCZ4NmnwaUGXCOY7FxYk74OVZomYEa-0s1C-JhyhDj0QAVOSZY24MatGRRn2Yj2puB45ySX3GHtlgeLKDH4tcLn4jqXLFeq5AKQExgQaKxFPnVEKtDCjrUD476twDJ8n4ksOVSTV0WDC3nXstVrgDw-izYEBB9N5XjOiL1rKpow1brpRtYAU2btR~pyjWWWPxGVgGUzdYhFgceuLyFsUn0oybtYlgLC8ynvIYoj2rQ9fe6GhMg5FFH~X8pu35MWsi6PSrIEd11Dop5vNfJZjrvcYDnAFPZnf~ow__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","A romantic comedy about a talented gallery curator named Sung Duk Mi, who is an idol fan-girl underneath her professional veneer. Meanwhile, her boss Ryan becomes a passionate fan-boy of her.","Ahn Bo-hyun, Park Jin-joo, Kim Bo-ra","Watch on Netflix (https://www.netflix.com/watch/81205812), Watch on The Roku Channel (https://therokuchannel.roku.com/details/18dd76dabee25f80987bc752e05038fa)"
All of Us Are Dead,Jigeum uri hakgyoneun,TV Series,2022,TV-MA,1h,13,2,N/A,7.5,72K,https://www.imdb.com/title/tt14169960/mediaviewer/rm1351868929/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3022439193/1434659607842-pgv4ql-1642120778769.mp4?Expires=1730701020&Signature=rJEXUFlydjmPQ7MwxitTYrV-PC~G~EEBtB1CFqQLv~J9pCJRjCwuAMn0NqGcWBHhUPL9ia1Un9Hu8BMyq1TgxlG-pKYSCMHAfiNTxD8l9u3ssEzM7EJ~GAUNn5V0Mpr3j-zZvzAWGSVR2Th6m0ZMMTblaKYBdLIlxBaR~-jKHoh9g7Smepa5R4DKpZRDC4~gJ9DxWMcbjDBmP76HNF0HGqmlm-RUmxWM9gAx34J8MipfKBVY~eAPUnnJSqI7xJqZ1OfXK-3kyrgv0LnNE1UZw0ha0k6pPBqrvA-ZRxq5axIPRxhSYcPahmNiCnP44AL~n-r9RdS-vsZvEbncUfGd6g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Survival, Teen Horror, Zombie Horror, Action, Drama, Fantasy, Horror, Sci-Fi",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun",Watch on Netflix (https://www.netflix.com/watch/81237994)
Secret Garden,Sikeurit Gadeun,TV Series,2010-2011,N/A,1h,20,N/A,2,8.1,7.9K,https://www.imdb.com/title/tt1841321/mediaviewer/rm3057181696/?ref_=tt_ov_i,N/A,"Korean Drama, Comedy, Drama, Fantasy, Romance","Gil Ra-im is a tough stuntwoman with a soft heart. Kim Joo-won is a nit-picky CEO with a long list of complexes. Love-struck, Joo-won barges into Ra-im's life in all the wrong ways, trying to make sense of his illogical feelings.","Ha Ji-Won, Hyun Bin, Yoon Sang-Hyun",
Suspicious Partner,Soosanghan Pateuneo,TV Series,2017,TV-14,30m,40,1,N/A,7.8,7.9K,https://www.imdb.com/title/tt6720154/mediaviewer/rm3528668160/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi687260441/1434659607842-pgv4ql-1635918465450.mp4?Expires=1730700627&Signature=ob8KsNK2XQJuH3ZlOhCosJnUn~c0nK8zKyRbtxtVXl7PHKVkF9AMxwW307CgN94VRdts0Tu9miQtHFyplKAWggPOFbJwvKAPr4ZASToATdPgy8niYmr3efAF05wr6Ag8dHAeR3M8ELc~XmwvPhguGoD1dL0nu8JlMUMsXzvdH-CfqfQo3nYEYoViTRKuh4QAPshZF5Ml6G1vXnDpS0gwVDVeUldcAfNENKNHN~vmQf23qbqh5HmR6IXNB0OI7o-rYrnPr0gCYI6l~mZR8Bd7Uv6SUwGeXoYk26kO7VqmU8rIlk4Wcd8mT28L5yMYJbi-8SSrea4aw2qoKjLheRpumw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Crime, Drama, Romance, Thriller","A young woman grows close to a prosecutor as she works with him as a trainee in a murder case. However, things take a turn when she inexplicably becomes a suspect.","Ji Chang-wook, Nam Ji-hyun, Choi Tae-joon",
Memories of the Alhambra,Alhambeura Goongjeonui Chooeok,TV Series,2018-2019,TV-MA,1h,16,1,2,7.7,7.4K,https://www.imdb.com/title/tt8236556/mediaviewer/rm860451584/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi954972697/1434659607842-pgv4ql-1542992771913.mp4?Expires=1730703155&Signature=bA9iWgJ7a0UHUiFaV54A0ubWbbUlSXljDAddTQd0ycA5CkatZ~qXTY3-0FbD5bitR4UpjijTMWInu-3ri3ezmlT-gv90B8W6QcmnnZd~erj9Xj-lD3aPQlIDjuV8WlR-F0cR3JoMdi0Hjt1X4ldcpxIJ9z2WlAPULzKTAvC8nnLRbJ5NzZ7mfKRwzlf54PgKU7IM3MeZi9Xt0xaT6v4I999TUT-4wMfq3IXsSJMC0nVtwjq1~UM4TOyVzQT9bKy3u4T6iKWdf~NIv8vYf~MQWQfZ5VKRiw98nYY2p8kE2ThjsR4V7xBTjDMXEtLMZk2YvtBRL83Vi4FR8h8o8mTL5w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance, Sci-Fi, Thriller","After suffering a setback following a friend's betrayal Yoo Jin Woo travels to Spain on a business. There, he stays at an old hostel owned by a former classical guitarist Jung Hee Joo. The two get entangled in a mysterious incident.","Park Shin-hye, Hyun Bin, Min Jin-woong",Watch on Netflix (https://www.netflix.com/watch/81004280)
Weak Hero Class 1,Yakhanyeongung,TV Mini Series,2022,40m,18+,9,2,2,8.5,7.4K,https://www.imdb.com/title/tt20234568/mediaviewer/rm4074645761/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4210083097/1434659607842-pgv4ql-1669630484673.mp4?Expires=1730737505&Signature=ffHo5cxNI341hbtgtGXJCIquI5XTj0pqiYr6gScq4Ki22o~iOUGT3QEyAO0pveubDLxjc9owWAZ-7HpcrGrXCd0HMK2jtWayLvOk57iqmIwRiv-PFleBEgYfYEiqB37847HE~BcHg~j0Du834qnulLWtfSk-urFalMSq5WWY36K84SzUATsymKnnnyA0SSkMP4HcElXMNQWOjsi6lAP7lpk92K4qt8QTJdBrHyic6HcBpdUMJiPN78uVajRwB6iymyHWzDd6gXIEsKZ-a~L5A0m0SDQm7nUM7yo-q3oAyttDZacvaJpCaFNaiWszfJDRm9J-H7pxvKinleflMfPFTQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Teen Drama, Action, Drama, Thriller","Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his school.","Park Ji-hoon, Choi Hyun-wook, Hong Kyung",
Marry My Husband,Nae Nampyeongwa Gyeolhonhaejweo,TV Series,2024,1h,13+,16,1,N/A,7.9,7.3K,https://www.imdb.com/title/tt26628595/mediaviewer/rm1569605377/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2725889817/1434659607842-pgv4ql-1704279924025.mp4?Expires=1730699842&Signature=TO3Im0eBsKwf2mTbDuvB94HTRc6K44fFGCks4SyAnO6OkqaZuy7D8fcElZPTzDAmmQZbqpcznySrBVJzBlGVXkGrRUVnf-g8cAN~pqKD8kyrA17JTuPAtIxK9rjH4DSWbMYrpLNCMTtxznTx~Q8iLG5EjPRIkcfiE9ZcBy7W4KJ6edRtEKdybElj2mK6guHC1qo5mMAhuYMtr3BT8ZdHZMpfa~1lU4iz3e~bISRYfu~-ZkjsWrjjUeTJmkTsaMvNZH5KQAtepg3VvxtUZmaPKkwegz9Gc8utlfITvFXdLusCy4alinRQ50OCJOQliS4m~I8mn33R8jHSxi4lzjj8uw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance","A story about Ji-won who after being killed by her husband who had an affair with her best friend, goes back 10 years in the past and has a chance to change her fate.","Seong So Jak, Park Min-young, Na In-woo",Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.ff3e6df2-2fa6-4a7c-bab3-43972be660cb)
A Shop for Killers,Sarinjaui Syopingmol,TV Series,2024,TV-MA,50m,8,1,N/A,8,6K,https://www.imdb.com/title/tt26450613/mediaviewer/rm641681665/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2991703833/1434659607842-pgv4ql-1705832356136.mp4?Expires=1730700601&Signature=PehZLnUq0~1dT6w3TlIquCF76zo7Wn9cFtClcE4wfrX7SJVbxc0Mj~quae2V8A7gcbjYTRjR7kBB7oF3ldiwXcKinjNda7H9SCWvvbZwlBKLyjB7ESzjrLL23swjszVkfEjBgTbU9yq1CWWFbhfTotjhwOwME~FrDIIeBfA3V1UyOTGjhvvnp4fFw7lk19IgwWKJi7o~~uKXI6SDbKrLa0D5bC3wNblcpcMlH3ywuqqbGRY8pBVOeIV9-bPplEmkycaJT23zXaNScr-4eTW5hjZsBn2H5GGIUVXNDQZprjo3zC6O0X8j6FopBpHTz~bUISNCUBkxnaaxyk3nBFXPIQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Drama, Mystery, Thriller","An action drama in which a niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall, faces a new truth after her uncle's sudden death.","Lee Dong-wook, Kim Hye-jun, Jo Han-sun",Watch on Hulu (http://www.hulu.com?d=Amazon)
Love to Hate You,N/A,TV Series,2023,TV-MA,50m,10,N/A,N/A,7.8,6K,https://www.imdb.com/title/tt26229508/mediaviewer/rm1048788225/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi387564825/1434659607842-pgv4ql-1675338342391.mp4?Expires=1730738090&Signature=qpqPk~YMwdXSscxK8KRjdDek4FCbkakZ3C3ZDRzBWlhtw-zRkB0pwVjll7zygwEmtaMYc1qQAM1KjFG0mOP6vuL1sYsI5m523UU7O1w-ipU3qzy6WKXYxEvPx-nCAHr-wlA3glg6pQcEm35IJu5aVeTkznj55lSDxh2IPiqYK8Egh7tdKvaCsUhQjfGnYXyTT-F-a~OTA9Tsd~H-0V3asQwlgvF2cd6S1KPVPJIIVyh-ujk2IelJzkitvuWYMeI6RjykOr-w-GhPPs1zcMI-W2EyRtPVswK9tRLzs00TLf5guq92fLnz2-G5cYM0C7VerKCunqFHqg-NKr~WOpw2nw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Feel-Good Romance, Comedy, Romance","For an attorney who despises losing to men and an A-list actor who distrusts women, love means nothing - until they're forced to date each other.","Kim Ok-bin, Teo Yoo, Kim Ji-hoon",Watch on Netflix (https://www.netflix.com/watch/81463556)
Big Mouth,Ming Mauseu,TV Series,2022,TV-14,1h,16,1,N/A,7.8,6.8K,https://www.imdb.com/title/tt21195490/mediaviewer/rm3493462017/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1864417817/1434659607842-pgv4ql-1657882126694.mp4?Expires=1730700724&Signature=kr7~ykfIvl6d~PGVWSYyBHuNVX~G0PW5v4J1pceroEApJM2MgAZcBNd0uXUG4sKTlYCkvP4KKEOyGkXXprRvpzECy~zpsabjeTZGN1xjPZA2xcWtcyCZRBS4CoR7MeV03dVaUWgKizAn91OwKq220rBVyjdQm5Sz4cOAvHqBS5CA8qO3yAQwmyn550ho6Z68mijI225ZPUoaM8pSz1PQ95QoQjjfA2LtH9xU2fJOLjilcMj-oYifGhR~~zcZNQpIZ4dKXCjsfdYlHIVx9ndTBNvxuMx1ECipJGgCi5xjga3bZFLW3ZCDuUSGdcAISIXkimuYWhGkpbR1Q8A01APOxg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Crime, Drama, Mystery, Thriller",Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.,"Lee Jong-suk, Im Yoon-ah, Kim Joo-hun",Watch on Hulu (http://www.hulu.com?d=Amazon)
