Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Twenty Five Twenty One,Seumuldaseot Seumulhana,TV Series,2022,TV-14,1h 10m,16,1,N/A,8.6,15K,https://www.imdb.com/title/tt17513352/mediaviewer/rm3440895233/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi839631641/1434659607842-pgv4ql-1644282457413.mp4?Expires=1730700698&Signature=E8cKUfoDqGhXJ10ewY5hkS6Vr8s1jwrkmuQbR9HO-E03konot5bkmKRE-oFnC~1pF7ZTxxq2HGWG-Y0nEUyq-Lgq3G0jjlDTv64K2dzb7-0jbx4OkKgxRW9Jqt57-GL5WS4UlgrJ3HRC5A4CKozaGlo9bhcsJ5AEGLQZKdfFww3voKZZvjb8TIIShLxGCI2ZbiWmyoeE5wNSXA2EHz9wW~lUJcWgGitmf1xwhuIMJc7r2lu7P9ZovElnVMkpYKJkwYbJy~D6Pl5g2aPLx2Z~AwUeItMKsKJofOh0WlC-MQNoYDsLDaY7fN1KRN6ZMsOUDb9xqjBwf8XOqE4BSgHeNA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Drama, Romance","In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. At 22 and 18, they say each other's names for the first time, at 25 and 21, they fall in love.","Kim Tae-ri, Nam Joo-hyuk, Kim Ji-yeon",Watch on Netflix (https://www.netflix.com/watch/81517168)
Moon Lovers: Scarlet Heart Ryeo,Dalui Yeonin - Bobogyungsim Ryeo,TV Series,2016,TV-14,1h,21,1,N/A,8.6,12K,https://www.imdb.com/title/tt5320412/mediaviewer/rm47892481/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1384694553/1434659607842-pgv4ql-1634887138637.mp4?Expires=1730700707&Signature=dpzbf5x5KHrE3anTQmo8iWoq7-zJ5YQ4nX0VmW3Ma~KZAwYoEkq~5ttPqGRGGznN8ADihs8V-dUMb5zdXJB267rAMvcHd8ixAMF5A4WoT7wTyUUfSJ2vSem4gggvaBZvHEwKSI1w2Bc2CxIfI9NNHOYCKAZhoipC1DcH3qWavlNxS2DqIFvQ0Ytoo5x5rs~CWZECNWdbyZNthO9dh~9ajEAcv5Expdra~l1tBGA5~FHWkXdPEtRYiF440~WfdykOAc8---fVekaIIBrSBn3gtsdlYLszOe-BYw8E6izJv6dvyfEwlWj0Ce6Te68kg9R9c5gnhYWBAApX8w~HRBsiVg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Costume Drama, Korean Drama, Period Drama, Tragic Romance, Action, Drama, Fantasy, Romance","Ha-jin travels 1000 years back in time and lands in the era of Goryeo Dynasty as a young girl named Hae-soo. She, now trapped in another person's body, becomes involved in a power struggle against various vicious contenders to the throne.","Hua Tong, Lee Joon-gi, IU",
Death's Game,"Yijae, Got Jookseummida",TV Series,2023,N/A,1h,8,1,2,8.5,15K,https://www.imdb.com/title/tt26225038/mediaviewer/rm1277381889/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi421512985/1434659607842-pgv4ql-1701784333293.mp4?Expires=1730700559&Signature=VsmAlJe8GzM2I1T2U-yW8BQ94CkASFnw8HdZHvmlsj8tNI9QDVkkzfiVc~rnF38RIPUUlVBC9s7nhCIURRdpsFoD90xKkD8R3bN8RXtW0SPX1JBMm0b0OWvRv3UT0VLuyT7idOyklQckgbUpV~R6xkDyR3jf6mSFPa~tfNZ5WGWGbh3vMdHeptbf9fKocKG8R3vS~gCet8q~AkKz~K0UvR-4doGR4ZGXBjU8OYuhJm19OlPjYZ-969DAsQUMhBnNxUcUcvwI9cBnkk5CwqySn94wubeTzptdPys0dQk3yr3EVh~jSvvaz6-ylvyuD7BIF2POFfbYFwvCxoczXbdTVg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy","Facing hardships and contemplating suicide after a series of setbacks, a man is confronted by Death and tasked with experiencing death over and over again through 13 other lives to earn the chance to live.","Lee Wonsik, Seo In-guk, Park So-dam",Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.e697b15e-1746-4d3d-8141-7909efacda7f)
Vincenzo,Binsenjo,TV Series,2021,N/A,1h 20m,21,1,N/A,8.4,31K,https://www.imdb.com/title/tt13433812/mediaviewer/rm634964737/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3747397913/1434659607842-pgv4ql-1612962189631.mp4?Expires=1730700540&Signature=Nd3lVANWzr8fIOD3eCc7qnXYIz254e~pqEq8ClxYbF7J9Rfo3LWGKy0opugv5ZwxcCGpNQKulObiJ~fEmJMKQAMfEMm5X5pPK6PPilpE8tFTNJ9s90gMAGPMYtjM3UjHOrMnWwZAqMXmwBdC52LvXD2bOVbrFadJ0HdVNwSjqr52H2CfS6RW862JZKMJ6wKud8NBl~rqGDywYwrqgQ1Eod0ddYgPlfkcrghlA-4hjX2FPFm0DRe97js0bUjP7vf3IRFAd~0XO~eNUQ8qz~fQ1qWjB-pC2nYIlvvWiG73FWmgwhPKpMXIh91CdQ50FkDX9cKRy3hEjdgwpE0pGvCujA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Comedy, Crime, Drama","During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","Song Joong-ki, Jeon Yeo-been, Taecyeon",Watch on Netflix (https://www.netflix.com/watch/81365087)
Stranger,Bimilui Soop,TV Series,2017-2020,TV-14,1h,32,2,2,8.4,11K,https://www.imdb.com/title/tt6461346/mediaviewer/rm2416355585/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3081879833/1434659607842-pgv4ql-1598962897444.mp4?Expires=1730699872&Signature=NA-vwbMhNB5cuRoHrJdbdCdN9TeQw9MOx6L2IvnP4T8rf-l7cjPGhYl9k7FFD~yyrHUh~t7viXjo5kJ8C5K1MDNZP8Lzgg2j~NAmJnBVNSkZormjURK9xBT~YZlOVGkR4XLDbOT1V-n6tD1PH0FOIAhgx2RWADireewmHZOi4~5011Zsig63MZDut717vYXNsdq1XBPgux9tFr79EpIt2lqyFwvG8EiuPA6BEJIwJUgrY6ET6XSoRAKA32htF1Ogl11x8jNivDgkkh7KtCMXiuC8NgqcAJYkaDM7LNWNkSTnGAlcyjE9qZ40bHQ3d6pO5eGGCYqN9x9WTxl-WFndgA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Whodunnit, Crime, Drama, Mystery, Thriller","With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.","Cho Seung-woo, Bae Doona, Lee Jun-hyuk",Watch on Netflix (https://www.netflix.com/watch/80187302)
Dr. Romantic,Nangmandakteo Kimsaboo,TV Series,2016-2023,TV-14,1h,54,3,5,8.4,4.9K,https://www.imdb.com/title/tt6157190/mediaviewer/rm2371842049/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi629457689/1434659607842-pgv4ql-1634620922655.mp4?Expires=1730700063&Signature=ZpvxvKzI4Er4Nszmpba6ITIwT7DUNWxRfKpv7aous8rN-Fhv-EQ-3gRzssITjZPqw0xc711~jJ5hXqLU0fBD6xuWe9QHt2CdLI~SPOtjzHIIGJ5mfoXbdxin-z-RajZ~mEz1voiHX~IKlx3R1gNpCwc4hD1Xkuob5dVy-qasOadOb5DCujpduVpRhG1HHUE5~imz2vaTKHVXxjvGtQ3~hUyCiMNz6Vzsn7knlNP-vK7GQ3wWd0trMCm-A0BiJRH8nrx-4w4HCnst3AyWDCPTUpBmoosNDisfeXWkgD7hsarEmk2zN1x6hG7RUnOgm40ShBLPtmUPQSkDuC80rnIp2Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance","""Romantic Doctor Kim"" is a ""real doctor"" story set in a small, humble hospital called Dol Dam Hospital. It is a story about people who meet Kim Sa Bu (Han Suk Kyu), a genius doctor, and discover ""real romance.""","Han Suk-kyu, Byeon Woo-min, Jin Kyung",Watch on Hulu (http://www.hulu.com?d=Amazon)
Kingdom,N/A,TV Series,2019-2020,TV-MA,45m,12,2,2,8.3,57K,https://www.imdb.com/title/tt6611916/mediaviewer/rm795917825/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2133047833/1434659607842-pgv4ql-1546270897942.mp4?Expires=1730700382&Signature=GvPfrDTIEHTgnnrRhwYnNS0Q16k6Je6m9~POJkSd73byBipeXBJXBcP70~6VYNVHBKXB7MEJ6tAqkJHXFE0kpECdP55cx0a1EkJva9gfvJr4MLcgemBeYqN7EaNsgI-RvQYWCkBmniYaxvqNG2ePPYoUF0n-e~6pe-b2El1-8-vwFBIYBeH9Hju5Zy8P48XdU0ip~36j~iT2yS-yxj0t9fkoAsg-pFKFayU62vDGccCVyZEBkhNMCPQI7I~LJ8dj9Id~OfJWFWcI9g1o1RyEBQzVbyw66cmnxa84v-AcH8u4y60w2-bUJYkVesp8T57MgQ8~JEa4NI0yZxR5oX6Tow__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Period Drama, Zombie Horror, Action, Drama, Horror, Thriller","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Ju Ji-hoon, Bae Doona, Kim Sungkyu",Watch on Netflix (https://www.netflix.com/watch/80180171)
Hometown Cha-Cha-Cha,Gaet-na-eul cha-cha-cha,TV Series,2021,TV-14,1h 10m,16,1,N/A,8.3,22K,https://www.imdb.com/title/tt14518756/mediaviewer/rm3985788161/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2929378073/1434659607842-pgv4ql-1633948080609.mp4?Expires=1730700869&Signature=JMFGhT-K~J7agRkIImF-uuVpYOgKjk-VKfDJgUXcD-cO7MzhSlCtSg0qKSNPpWwiPTeXOMOKL4LPy~~3kkM9vv59z4plc0mdsfNYoQfzXazLPIesi938qsb~UkVdr3k3J-wfOzWEPOuSzc9VZkLupLkynDyTPCXoiZB-MbyGH7vUzH07OCtE45Fd8KiBKsLp5LwRe43jWOzNkWHAG~bbi8QnKnI6AyALCwcuyQnsbJMT2itsbXf8-tDQcfhHzrm43AWpVJ0ZjX17n6YhSe7megnIYW7~NSSZ52QxkryM0EktKO-qd3o4NrZyE3I4kmOmUvuDOrrNkqb8~cxfJnaeBQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.","Shin Min-a, Kim Seon-ho, Gina Su",Watch on Netflix (https://www.netflix.com/watch/81473182)
The Worst of Evil,Choeakui Ak,TV Series,2023,TV-MA,N/A,12,1,N/A,8.3,5.2K,https://www.imdb.com/title/tt20600022/mediaviewer/rm2735561729/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2581514009/1434659607842-pgv4ql-1696591755404.mp4?Expires=1730700872&Signature=SDUyhLl-76uOjxLQqbIbDH0mjrmgZny7NboQvHZXRqO2hjOUDfW5AvuOBp4z-MDNsHVGRkYYNhMPr-uq~nTl83XbphPSkLw6u8v5h6CPd6OSKRHdk2mQsxUUYOkdRm7HNsRu4a7EREPHsx-xbwTZpQsM8R8Aup64oWQFaHLA6U8dTeTAYWXFsGFrtRq6mBnTOdFODMonRM4XUHw0txoCTSbXfNL~HhFt~HNtmndnPQh365aLcuavRKm~bfN8EKjoK6IjwvJ4Q7UyTXLeCJrhCVH86rIzyVvnTmDIwMhA3kSMPgxaEfDUVWvwvp6G57JWSvmXwzLUgS3XvO0ulw91Xw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Gangster, Korean Drama, Action, Crime, Drama, Thriller","In the 1990s, a police officer goes undercover to infiltrate a mega crime syndicate that distributes illegal drugs across South Korea, China, and Japan. His wife, a narcotics officer, is also involved.","Ji Chang-wook, Wi Ha-joon, Im She-mi",Watch on Hulu (http://www.hulu.com?d=Amazon)
While You Were Sleeping,Dangshini Jamdeun Saie,TV Series,2017,N/A,30m,32,1,N/A,8.3,11K,https://www.imdb.com/title/tt6256484/mediaviewer/rm1978803712/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi983548697/1434659607842-pgv4ql-1634208205405.mp4?Expires=1730700025&Signature=VXygXaNjlx1YdsG~eV~snY9Ex23QbYboHTGGxh6n6r1-E2q5blud5vMp2d4SAM8uS9mGKGxqfju9aGu0zERd~297pfPGQh1VtNFcpIImzYFae-bcddD-qaADvsdMxItuDOFCZuCfmi0bRyKSqJLhXt-aZM63R1RSFwANR-LFiK0RL7ZYleG9-X16xZZwpaciA8ws1AOEU~mpR6q3J16q6vOlMIlYRXaAhhLeOh5yaiM4sMh28lXKOLlRa3wbTvJAoPXdzEHO5r1T8EUWjqR~XM1bUgHgBi4yGeXOZdhW~FM3EOYGZVF4ZPaZEv8qJHwhTOcaB287RUm0OXOhfM1CQw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Romantic Comedy, Supernatural Fantasy, Comedy, Drama, Fantasy, Romance, Thriller","The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.","Bae Suzy, Lee Jong-suk, Jung Hae-in",
